keyword,tags,lists,clusters,language,country,source,session_id,status_id,volume,kd,cpc,competition_index,competition,intent,bid_low,bid_high,serp_results,avg_backlinks,avg_referring_domains,top_ten_avg_rank,first_seen_at,fetched_at,data_fetched_at,mom_change_pct,trend_30d_pct,trend_90d_pct,trend_6m_pct,trend_12m_pct,chances_score
romantische hochzeitsmusik,,KimMarieBorger,,de,de,research,,,10,,2.77,0.43,MEDIUM,informational,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,0,0,
musikunterricht violine,,KimMarieBorger,,,de,research,,,10,,,86,HIGH,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,100,100,100,100,100,
musikunterricht geige,,KimMarieBorger,,de,de,research,,,10,,0.4,0.39,MEDIUM,informational,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-50,'-50,0,0,0,
musiker hochzeit buchen,,KimMarieBorger,,de,de,research,,,10,,3.03,0.9,HIGH,transactional,1.06,2.31,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,,,,,,
musik zum einzug,,KimMarieBorger,,,de,research,,,10,,,0,LOW,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:55.180Z,2026-06-13T17:02:55.180Z,'-50,'-50,0,0,0,
musik messe münster,,KimMarieBorger,,,de,research,,,10,,,,,,,,,,,,2026-06-13T12:44:31.109Z,2026-06-13T17:02:10.092Z,2026-06-13T17:02:10.092Z,,,,,,
musik messe köln,,KimMarieBorger,,de,de,research,,,10,,,0,LOW,informational,,,,,,,2026-06-13T12:44:30.417Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,,,0,0,0,
musik messe düsseldorf,,KimMarieBorger,,,de,research,,,10,,,0,LOW,,,,,,,,2026-06-13T12:44:30.417Z,2026-06-13T17:02:11.434Z,2026-06-13T17:02:11.434Z,,,0,0,0,
musik lesung,,KimMarieBorger,,,de,research,,,10,,,0,LOW,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,0,0,0,,0,
musik konfirmation,,KimMarieBorger,,,de,research,,,10,,,1,LOW,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,300,300,300,300,'-20,
musik kommunion,,KimMarieBorger,,sv,de,research,,,10,,,0,LOW,informational,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-100,'-100,'-100,'-100,'-100,
